date,post_id,type,message,reactions,comment_count,share_count,saves,post_reach,post_impressions,page_likes,post_clicks,negative_feedback,video_views_10s,hashtags
2026-01-23,fb_40022,video,Facebook sample post 23 focused on offer,1416,46,173,9,22687,32464,12901,77,37,3295,#socialstrategy #brand #community
2026-01-24,fb_40023,photo,Facebook sample post 24 focused on announcement,430,18,159,24,54812,57820,12922,1905,5,8123,#content #socialstrategy #campaign
2026-01-25,fb_40024,video,Facebook sample post 25 focused on offer,302,200,39,19,38678,46260,12926,1172,23,5180,#campaign #smallbusiness #content
2026-01-26,fb_40025,photo,Facebook sample post 26 focused on story,396,201,41,2,18127,23832,12950,628,44,3276,#brand #content #facebookmarketing
2026-01-27,fb_40026,status,Facebook sample post 27 focused on offer,516,108,140,68,13008,13538,12964,1564,37,5413,#smallbusiness #brand #campaign
2026-01-28,fb_40027,status,Facebook sample post 28 focused on offer,1107,17,7,88,31015,42119,12984,1146,1,6148,#facebookmarketing #campaign #community
2026-01-29,fb_40028,video,Facebook sample post 29 focused on how-to,1377,23,203,35,9204,11686,12995,974,5,12076,#brand #facebookmarketing #content
2026-01-30,fb_40029,status,Facebook sample post 30 focused on announcement,1320,132,203,60,8996,15690,13029,1230,34,12893,#socialstrategy #facebookmarketing #campaign
2026-01-31,fb_40030,link,Facebook sample post 31 focused on how-to,526,88,76,57,15940,18103,13063,228,0,5147,#awareness #brand #socialstrategy
2026-02-01,fb_40031,status,Facebook sample post 32 focused on how-to,1568,65,161,38,28126,33028,13094,1497,25,10889,#community #facebookmarketing #campaign
2026-02-02,fb_40032,photo,Facebook sample post 33 focused on offer,1241,24,162,14,46749,57265,13114,1751,14,13613,#content #awareness #campaign
2026-02-03,fb_40033,status,Facebook sample post 34 focused on announcement,352,106,87,87,17103,21986,13111,1488,5,6116,#smallbusiness #facebookmarketing #content
2026-02-04,fb_40034,video,Facebook sample post 35 focused on how-to,760,190,189,11,5894,13531,13147,1816,16,11358,#community #awareness #smallbusiness
2026-02-05,fb_40035,status,Facebook sample post 36 focused on offer,1380,65,256,49,12233,15143,13165,376,29,7752,#campaign #facebookmarketing #brand
2026-02-06,fb_40036,link,Facebook sample post 37 focused on how-to,642,46,12,39,37888,41637,13178,1632,0,3526,#smallbusiness #awareness #community
2026-02-07,fb_40037,status,Facebook sample post 38 focused on story,485,110,68,21,56141,64502,13172,304,18,10528,#socialstrategy #awareness #brand
2026-02-08,fb_40038,status,Facebook sample post 39 focused on story,1659,86,128,25,46709,51548,13193,1357,9,12544,#campaign #content #community
2026-02-09,fb_40039,link,Facebook sample post 40 focused on story,159,174,220,18,25408,34617,13229,1294,2,351,#community #brand #facebookmarketing
2026-02-10,fb_40040,photo,Facebook sample post 41 focused on how-to,1799,195,249,27,7717,10989,13246,804,32,11630,#brand #facebookmarketing #smallbusiness
2026-02-11,fb_40041,link,Facebook sample post 42 focused on offer,512,207,230,39,27511,33421,13260,157,24,10085,#facebookmarketing #content #brand
